Games,NOC,Medal,Total Medals,Podium,Games Encoded,Year,Season
1896 Summer,GER,Gold,7,3.0,1,1896,Summer
1896 Summer,GRE,Gold,10,2.0,1,1896,Summer
1896 Summer,USA,Gold,11,1.0,1,1896,Summer
1900 Summer,FRA,Gold,28,1.0,2,1900,Summer
1900 Summer,GBR,Gold,20,3.0,2,1900,Summer
1900 Summer,USA,Gold,21,2.0,2,1900,Summer
1904 Summer,CAN,Gold,4,2.0,3,1904,Summer
1904 Summer,CUB,Gold,4,3.0,3,1904,Summer
1904 Summer,USA,Gold,76,1.0,3,1904,Summer
1906 Summer,FRA,Gold,16,1.0,4,1906,Summer
1906 Summer,GBR,Gold,8,3.0,4,1906,Summer
1906 Summer,USA,Gold,12,2.0,4,1906,Summer
1908 Summer,GBR,Gold,57,1.0,5,1908,Summer
1908 Summer,SWE,Gold,8,3.0,5,1908,Summer
1908 Summer,USA,Gold,22,2.0,5,1908,Summer
1912 Summer,GBR,Gold,11,3.0,6,1912,Summer
1912 Summer,SWE,Gold,24,2.0,6,1912,Summer
1912 Summer,USA,Gold,26,1.0,6,1912,Summer
1920 Summer,BEL,Gold,16,3.0,7,1920,Summer
1920 Summer,SWE,Gold,19,2.0,7,1920,Summer
1920 Summer,USA,Gold,41,1.0,7,1920,Summer
1924 Summer,FIN,Gold,14,2.0,8,1924,Summer
1924 Summer,FRA,Gold,14,3.0,8,1924,Summer
1924 Summer,USA,Gold,46,1.0,8,1924,Summer
1924 Winter,AUT,Gold,3,3.0,9,1924,Winter
1924 Winter,FIN,Gold,4,1.0,9,1924,Winter
1924 Winter,NOR,Gold,4,2.0,9,1924,Winter
1928 Summer,FIN,Gold,8,3.0,10,1928,Summer
1928 Summer,GER,Gold,11,2.0,10,1928,Summer
1928 Summer,USA,Gold,22,1.0,10,1928,Summer
1928 Winter,FIN,Gold,2,2.0,11,1928,Winter
1928 Winter,FRA,Gold,2,3.0,11,1928,Winter
1928 Winter,NOR,Gold,6,1.0,11,1928,Winter
1932 Summer,FRA,Gold,11,3.0,12,1932,Summer
1932 Summer,ITA,Gold,12,2.0,12,1932,Summer
1932 Summer,USA,Gold,44,1.0,12,1932,Summer
1932 Winter,FRA,Gold,2,3.0,13,1932,Winter
1932 Winter,NOR,Gold,3,2.0,13,1932,Winter
1932 Winter,USA,Gold,6,1.0,13,1932,Winter
1936 Summer,GER,Gold,38,1.0,14,1936,Summer
1936 Summer,HUN,Gold,10,3.0,14,1936,Summer
1936 Summer,USA,Gold,24,2.0,14,1936,Summer
1936 Winter,GER,Gold,4,2.0,15,1936,Winter
1936 Winter,NOR,Gold,7,1.0,15,1936,Winter
1936 Winter,SWE,Gold,2,3.0,15,1936,Winter
1948 Summer,FRA,Gold,11,3.0,16,1948,Summer
1948 Summer,SWE,Gold,17,2.0,16,1948,Summer
1948 Summer,USA,Gold,38,1.0,16,1948,Summer
1948 Winter,NOR,Gold,4,1.0,17,1948,Winter
